tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
622,E9_3,52.3,14.52,575,0,#NAME?,2.1,0,tripinfo_s1.115 fcd_s1.115,47,s1.115,0,198.26,1.05,0,32.96,Car,,1,26
623,E9_2,52.3,13.2,560,0,#NAME?,2.1,0,tripinfo_s1.112 fcd_s1.112,63,s1.112,0,198.26,0.95,0,47.62,Car,,1,39
624,E10_2,59.5,14.31,503,0.69,#NAME?,2.1,0,tripinfo_n3.36 fcd_n3.36,121,n3.36,0,217.66,1.03,0,104.97,Car,,2,97
624,E9_2,52.3,14.75,570,0,#NAME?,2.1,0,tripinfo_s1.114 fcd_s1.114,54,s1.114,0,198.26,1.06,0,40.44,Car,,1,31
624,E9_3,52.3,12.46,585,0,#NAME?,2.1,0,tripinfo_s1.117 fcd_s1.117,39,s1.117,0,198.26,0.9,0,22.28,Car,,1,17
625,E9_3,52.3,13.86,595,0,#NAME?,2.1,0,tripinfo_s1.119 fcd_s1.119,30,s1.119,0,198.26,1,0,15.19,Car,,1,8
626,E9_3,52.3,13.82,600,0,#NAME?,2.1,0,tripinfo_s1.120 fcd_s1.120,26,s1.120,0,198.26,1,0,11.49,Car,,1,5
626,E9_2,52.3,12.49,605,0,#NAME?,2.1,0,tripinfo_s1.121 fcd_s1.121,21,s1.121,0,198.26,0.9,0,4.51,Car,,0,0
626,E2_2,63.53,12.86,609,0.06,#NAME?,2.1,0,tripinfo_n1.68 fcd_n1.68,17,n1.68,0,198.73,0.93,0,0.83,Car,,0,0
627,E10_2,59.5,13.13,517,0.74,#NAME?,2.1,0,tripinfo_n3.37 fcd_n3.37,110,n3.37,0,217.66,0.95,0,92.38,Car,,2,86
627,E9_2,52.3,13.77,580,0,#NAME?,2.1,0,tripinfo_s1.116 fcd_s1.116,47,s1.116,0,198.26,0.99,0,32.26,Car,,1,22
628,E9_2,52.3,15.68,590,0,#NAME?,2.1,0,tripinfo_s1.118 fcd_s1.118,38,s1.118,0,198.26,1.13,0,25.22,Car,,1,14
630,E10_2,59.5,12.3,531,0.79,#NAME?,2.1,0,tripinfo_n3.38 fcd_n3.38,99,n3.38,0,217.66,0.89,0,79.89,Car,,2,73
630,E9_2,52.3,12.47,610,0,#NAME?,2.1,0,tripinfo_s1.122 fcd_s1.122,20,s1.122,0,198.26,0.9,0,3.6,Car,,0,0
632,E9_2,52.3,14.64,615,0,#NAME?,2.1,0,tripinfo_s1.123 fcd_s1.123,17,s1.123,0,198.26,1.05,0,2.48,Car,,0,0
633,E10_2,59.5,11.58,545,0.83,#NAME?,2.1,0,tripinfo_n3.39 fcd_n3.39,88,n3.39,0,217.66,0.83,0,67.44,Car,,2,60
633,E9_2,52.3,14.18,614,2,#NAME?,2.1,0,tripinfo_e3.17 fcd_e3.17,19,e3.17,0,194.23,1.02,0,4.19,Car,,0,0
634,E10_2,59.5,12.93,559,0.88,#NAME?,2.1,0,tripinfo_n3.40 fcd_n3.40,75,n3.40,0,217.66,0.93,0,56.88,Car,,2,47
635,E10_2,59.5,17.07,573,0.93,#NAME?,2.1,0,tripinfo_n3.41 fcd_n3.41,62,n3.41,0,217.66,1.25,0,48.55,Car,,2,35
635,E2_2,63.53,12.91,618,0.11,#NAME?,2.1,0,tripinfo_n1.69 fcd_n1.69,17,n1.69,0,198.73,0.93,0,0.84,Car,,0,0
635,E9_2,52.3,14.68,620,0,#NAME?,2.1,0,tripinfo_s1.124 fcd_s1.124,15,s1.124,0,198.26,1.06,0,1.07,Car,,0,0
637,E10_2,59.5,13.2,587,0.97,#NAME?,2.1,0,tripinfo_n3.42 fcd_n3.42,50,n3.42,0,217.66,0.95,0,32.45,Car,,2,22
638,E10_2,59.5,15.39,601,1.02,#NAME?,2.1,0,tripinfo_n3.43 fcd_n3.43,37,n3.43,0,217.66,1.11,0,22.46,Car,,1,10
641,E10_2,59.5,13.71,614,0.07,#NAME?,2.1,0,tripinfo_n3.44 fcd_n3.44,27,n3.44,0,217.66,0.99,0,9.73,Car,,0,0
641,E9_2,52.3,13.31,625,0,#NAME?,2.1,0,tripinfo_s1.125 fcd_s1.125,16,s1.125,0,198.26,0.96,0,0.87,Car,,0,0
646,E2_2,63.53,11.28,627,0.15,#NAME?,2.1,0,tripinfo_n1.70 fcd_n1.70,19,n1.70,0,198.73,0.81,0,0.67,Car,,0,0
646,E9_2,52.3,14.05,630,0,#NAME?,2.1,0,tripinfo_s1.126 fcd_s1.126,16,s1.126,0,198.26,1.01,0,0.93,Car,,0,0
648,E10_2,59.5,14.4,628,0.12,#NAME?,2.1,0,tripinfo_n3.45 fcd_n3.45,20,n3.45,0,217.66,1.04,0,3.83,Car,,0,0
649,E9_2,52.3,15.29,635,0,#NAME?,2.1,0,tripinfo_s1.127 fcd_s1.127,14,s1.127,0,198.26,1.1,0,1.04,Car,,0,0
653,E8_3,50.56,15.57,521,0.23,#NAME?,2.1,0,tripinfo_n2.46 fcd_n2.46,132,n2.46,0,210.23,1.12,0,118.07,Car,,1,113
655,E8_3,50.56,14.21,533,0.91,#NAME?,2.1,0,tripinfo_n2.47 fcd_n2.47,122,n2.47,0,210.23,1.02,0,106.78,Car,,1,101
656,E10_3,59.5,13.44,531,1.58,#NAME?,2.1,0,tripinfo_s2.45 fcd_s2.45,125,s2.45,0,206.78,0.97,0,108.76,Car,,1,104
657,E10_3,59.5,13.8,542,0.81,#NAME?,2.1,0,tripinfo_s2.46 fcd_s2.46,115,s2.46,0,206.78,0.99,0,99.57,Car,,1,93
657,E8_3,50.56,13.84,544,0.59,#NAME?,2.1,0,tripinfo_n2.48 fcd_n2.48,113,n2.48,0,210.23,1,0,96.91,Car,,1,92
659,E10_3,59.5,12.97,553,0.05,#NAME?,2.1,0,tripinfo_s2.47 fcd_s2.47,106,s2.47,0,206.78,0.93,0,89.31,Car,,1,84
659,E8_3,50.56,13.5,555,0.27,#NAME?,2.1,0,tripinfo_n2.49 fcd_n2.49,104,n2.49,0,210.23,0.97,0,87.06,Car,,1,82
660,E8_3,50.56,14.05,567,0.95,#NAME?,2.1,0,tripinfo_n2.50 fcd_n2.50,93,n2.50,0,210.23,1.01,0,77.06,Car,,1,71
660,E10_2,59.5,16.47,642,0.16,#NAME?,2.1,0,tripinfo_n3.46 fcd_n3.46,18,n3.46,0,217.66,1.19,0,3.99,Car,,0,0
661,E10_3,59.5,15.11,566,1.28,#NAME?,2.1,0,tripinfo_s2.48 fcd_s2.48,95,s2.48,0,206.78,1.09,0,79.83,Car,,1,71
662,E10_3,59.5,15.4,577,0.52,#NAME?,2.1,0,tripinfo_s2.49 fcd_s2.49,85,s2.49,0,206.78,1.11,0,70.4,Car,,1,62
663,E8_3,50.56,12.1,578,0.63,#NAME?,2.1,0,tripinfo_n2.51 fcd_n2.51,85,n2.51,0,210.23,0.87,0,66.17,Car,,1,61
663,E10_3,59.5,14.65,589,0.75,#NAME?,2.1,0,tripinfo_s2.50 fcd_s2.50,74,s2.50,0,206.78,1.05,0,59.06,Car,,1,51
664,E8_3,50.56,14.73,589,0.31,#NAME?,2.1,0,tripinfo_n2.52 fcd_n2.52,75,n2.52,0,210.23,1.06,0,59.66,Car,,1,52
664,E10_3,59.5,14.64,602,1.99,#NAME?,2.1,0,tripinfo_s2.51 fcd_s2.51,62,s2.51,0,206.78,1.05,0,47.53,Car,,1,39
665,E8_3,50.56,15.06,602,1.99,#NAME?,2.1,0,tripinfo_n2.53 fcd_n2.53,63,n2.53,0,210.23,1.08,0,48.27,Car,,1,40
666,E8_3,50.56,16.98,612,0.67,#NAME?,2.1,0,tripinfo_n2.54 fcd_n2.54,54,n2.54,0,210.23,1.22,0,41.23,Car,,1,32
666,E10_3,59.5,14.06,612,0.22,#NAME?,2.1,0,tripinfo_s2.52 fcd_s2.52,54,s2.52,0,206.78,1.01,0,38.22,Car,,1,32
668,E8_3,50.56,12.6,623,0.35,#NAME?,2.1,0,tripinfo_n2.55 fcd_n2.55,45,n2.55,0,210.23,0.91,0,27.43,Car,,1,22
668,E10_3,59.5,13.06,648,0.93,#NAME?,2.1,0,tripinfo_s2.55 fcd_s2.55,20,s2.55,0,206.78,0.94,0,2.98,Car,,0,0
669,E8_3,50.56,13.83,634,0.02,#NAME?,2.1,0,tripinfo_n2.56 fcd_n2.56,35,n2.56,0,210.23,1,0,19.28,Car,,1,12
669,E8_2,50.56,12.32,651,1,#NAME?,2.1,0,tripinfo_s3.13 fcd_s3.13,18,s3.13,0,172.11,0.89,0,2.87,Car,,0,0
670,E10_3,59.5,11.7,624,0.46,#NAME?,2.1,0,tripinfo_s2.53 fcd_s2.53,46,s2.53,0,206.78,0.84,0,27.38,Car,,1,21
670,E9_2,52.3,12.28,650,2,#NAME?,2.1,0,tripinfo_e3.18 fcd_e3.18,20,e3.18,0,194.23,0.88,0,2.67,Car,,0,0
671,E10_3,59.5,12.18,636,0.69,#NAME?,2.1,0,tripinfo_s2.54 fcd_s2.54,35,s2.54,0,206.78,0.88,0,17.43,Car,,1,11
671,E8_3,50.56,14.91,646,0.7,#NAME?,2.1,0,tripinfo_n2.57 fcd_n2.57,25,n2.57,0,210.23,1.07,0,9.64,Car,,1,1
674,E8_3,50.56,14.15,657,0.38,#NAME?,2.1,0,tripinfo_n2.58 fcd_n2.58,17,n2.58,0,210.23,1.02,0,1.59,Car,,0,0
675,E10_3,59.5,15.7,659,0.16,#NAME?,2.1,0,tripinfo_s2.56 fcd_s2.56,16,s2.56,0,206.78,1.13,0,2.36,Car,,0,0
686,E2_2,63.53,14.67,570,0.54,#NAME?,2.1,0,tripinfo_w3.56 fcd_w3.56,116,w3.56,0,190.93,1.06,0,102.32,Car,,1,97
687,E8_3,50.56,13.87,579,0.44,#NAME?,2.1,0,tripinfo_w1.54 fcd_w1.54,108,w1.54,0,230.99,1,0,91.22,Car,,1,85
688,E8_2,50.56,13.19,568,0.16,#NAME?,2.1,0,tripinfo_w1.53 fcd_w1.53,120,w1.53,0,230.99,0.95,0,101.77,Car,,1,98
688,E10_3,59.5,15.5,576,0,#NAME?,2.1,0,tripinfo_e1.48 fcd_e1.48,112,e1.48,0,230.72,1.12,0,96.54,Car,,1,91
688,E2_2,63.53,14.56,580,0.37,#NAME?,2.1,0,tripinfo_w3.57 fcd_w3.57,108,w3.57,0,190.93,1.05,0,94.28,Car,,1,87
689,E8_3,50.56,14.14,590,0.73,#NAME?,2.1,0,tripinfo_w1.55 fcd_w1.55,99,w1.55,0,230.99,1.02,0,81.84,Car,,1,75
689,E10_3,59.5,15.66,600,0,#NAME?,2.1,0,tripinfo_e1.50 fcd_e1.50,89,e1.50,0,230.72,1.13,0,73.97,Car,,1,67
690,E10_2,59.5,12.76,564,0,#NAME?,2.1,0,tripinfo_e1.47 fcd_e1.47,126,e1.47,0,230.72,0.92,0,107.11,Car,,1,103
690,E8_3,50.56,16.41,600,0.02,#NAME?,2.1,0,tripinfo_w1.56 fcd_w1.56,90,w1.56,0,230.99,1.18,0,75.35,Car,,1,67
691,E10_2,59.5,13.02,588,0,#NAME?,2.1,0,tripinfo_e1.49 fcd_e1.49,103,e1.49,0,230.72,0.94,0,84.81,Car,,1,80
691,E2_2,63.53,13.32,591,1.2,#NAME?,2.1,0,tripinfo_w3.58 fcd_w3.58,100,w3.58,0,190.93,0.96,0,84.59,Car,,1,77
691,E8_3,50.56,14.29,611,0.3,#NAME?,2.1,0,tripinfo_w1.57 fcd_w1.57,80,w1.57,0,230.99,1.03,0,63.64,Car,,1,57
691,E10_3,59.5,14.5,624,0,#NAME?,2.1,0,tripinfo_e1.52 fcd_e1.52,67,e1.52,0,230.72,1.04,0,50.68,Car,,1,45
692,E10_2,59.5,14.37,612,0,#NAME?,2.1,0,tripinfo_e1.51 fcd_e1.51,80,e1.51,0,230.72,1.03,0,63.74,Car,,1,57
692,E10_3,59.5,14.92,648,0,#NAME?,2.1,0,tripinfo_e1.54 fcd_e1.54,44,e1.54,0,230.72,1.07,0,28.42,Car,,1,22
693,E2_2,63.53,14.16,602,2.03,#NAME?,2.1,0,tripinfo_w3.59 fcd_w3.59,91,w3.59,0,190.93,1.02,0,76.09,Car,,1,68
693,E8_3,50.56,13.25,622,0.59,#NAME?,2.1,0,tripinfo_w1.58 fcd_w1.58,71,w1.58,0,230.99,0.95,0,53.17,Car,,1,47
694,E2_2,63.53,14.62,612,1.86,#NAME?,2.1,0,tripinfo_w3.60 fcd_w3.60,82,w3.60,0,190.93,1.05,0,68.33,Car,,1,59
694,E8_3,50.56,13.84,633,0.87,#NAME?,2.1,0,tripinfo_w1.59 fcd_w1.59,61,w1.59,0,230.99,1,0,44.21,Car,,1,38
694,E10_3,59.5,15.33,672,0,#NAME?,2.1,0,tripinfo_e1.56 fcd_e1.56,22,e1.56,0,230.72,1.1,0,6.1,Car,,0,0
695,E10_2,59.5,11.5,636,0,#NAME?,2.1,0,tripinfo_e1.53 fcd_e1.53,59,e1.53,0,230.72,0.83,0,38.42,Car,,1,34
696,E2_2,63.53,15.23,621,0.69,#NAME?,2.1,0,tripinfo_w3.61 fcd_w3.61,75,w3.61,0,190.93,1.1,0,61.64,Car,,1,52
